time;codice;risposta
13:09:29.263;G1 X63.863 Y110.606 E14.22728;ok
13:09:29.341;G1 X62.596 Y106.509 E14.35460;ok
13:09:29.422;G1 X62.199 Y104.848 E14.40529;ok
13:09:29.566;G1 X61.876 Y102.375 E14.47935;ok
13:09:29.623;G1 X61.768 Y99.574 E14.56257;ok
13:09:29.704;G1 X61.940 Y96.846 E14.64372;ok
13:09:29.799;G1 X62.327 Y94.500 E14.71433;ok
13:09:29.895;G1 X63.529 Y90.284 E14.84449;ok
13:09:29.970;G1 X64.389 Y88.104 E14.91408;ok
13:09:30.117;G1 X65.674 Y85.659 E14.99610;ok
13:09:30.195;M105;ok T:218.8 /220.0 B:69.9 /70.0 T0:218.8 /220.0 @:46 B@:74
13:09:30.195;G1 X67.257 Y83.274 E15.08109;ok
13:09:30.385;G1 X68.495 Y81.808 E15.13804;ok
13:09:30.390;G1 X71.362 Y78.898 E15.25934;ok
13:09:30.447;M204 S1000;ok
13:09:30.589;G1 X71.616 Y79.149 F9000.000;ok
13:09:30.589;M204 S500;ok
13:09:30.659;G1 F1800.000;ok
13:09:30.659;G1 X73.207 Y77.755 E15.32214;ok
13:09:30.740;G1 X75.092 Y76.443 E15.39033;ok
13:09:30.815;G1 X77.196 Y75.237 E15.46234;ok
13:09:30.820;G1 X79.404 Y74.241 E15.53424;ok
13:09:30.902;G1 X83.532 Y72.956 E15.66262;ok
13:09:31.044;G1 X85.093 Y72.574 E15.71033;ok
13:09:31.105;G1 X87.522 Y72.243 E15.78313;ok
13:09:31.185;M105;ok T:218.2 /220.0 B:70.1 /70.0 T0:218.2 /220.0 @:56 B@:48
13:09:31.185;G1 X90.129 Y72.124 E15.86060;ok
13:09:31.371;G1 X92.968 Y72.280 E15.94504;ok
13:09:31.371;G1 X95.317 Y72.652 E16.01565;ok
13:09:31.450;G1 X99.559 Y73.854 E16.14656;ok
13:09:31.596;G1 X101.709 Y74.697 E16.21510;ok
13:09:31.674;G1 X104.061 Y75.924 E16.29389;ok
13:09:31.766;G1 X106.476 Y77.518 E16.37979;ok
13:09:31.862;G1 X107.904 Y78.722 E16.43524;ok
13:09:32.065;G1 X110.892 Y81.656 E16.55960;ok
13:09:32.084;G1 X112.256 Y83.221 E16.62124;ok
13:09:32.084;G1 X113.576 Y85.123 E16.68997;ok
13:09:32.175;G1 X114.812 Y87.295 E16.76417;ok
13:09:32.250;M105;ok T:218.6 /220.0 B:69.8 /70.0 T0:218.6 /220.0 @:48 B@:84
13:09:32.333;G1 X115.794 Y89.495 E16.83571;ok
13:09:32.416;G1 X117.059 Y93.593 E16.96306;ok
13:09:32.422;G1 X117.446 Y95.207 E17.01232;ok
13:09:32.558;G1 X117.762 Y97.597 E17.08391;ok
13:09:32.611;G1 X117.875 Y100.426 E17.16796;ok
13:09:32.693;G1 X117.693 Y103.215 E17.25096;ok
13:09:32.781;G1 X117.318 Y105.450 E17.31824;ok
13:09:32.875;G1 X116.123 Y109.629 E17.44728;ok
13:09:32.955;G1 X115.251 Y111.822 E17.51737;ok
13:09:33.104;G1 X113.961 Y114.254 E17.59910;ok
13:09:33.179;G1 X112.418 Y116.563 E17.68157;ok
13:09:33.268;G1 X111.223 Y117.971 E17.73640;ok
13:09:33.363;M105;ok T:216.5 /220.0 B:70.0 /70.0 T0:216.5 /220.0 @:88 B@:59
13:09:33.426;G1 X108.274 Y120.960 E17.86106;ok
13:09:33.567;G1 X106.718 Y122.303 E17.92208;ok
13:09:33.574;G1 X104.824 Y123.608 E17.99039;ok
13:09:33.635;G1 X102.676 Y124.827 E18.06370;ok
13:09:33.713;G1 X100.465 Y125.809 E18.13555;ok
13:09:33.797;G1 X96.397 Y127.062 E18.26194;ok
13:09:33.877;G1 X94.773 Y127.450 E18.31151;ok
13:09:34.021;G1 X92.393 Y127.763 E18.38277;ok
13:09:34.075;G1 X89.574 Y127.875 E18.46654;ok
13:09:34.157;G1 X86.788 Y127.694 E18.54944;ok
13:09:34.250;G1 X84.566 Y127.322 E18.61633;ok
13:09:34.344;G1 X80.389 Y126.130 E18.74529;ok
13:09:34.421;G1 X78.215 Y125.268 E18.81473;ok
13:09:34.565;M105;ok T:219.0 /220.0 B:69.9 /70.0 T0:219.0 /220.0 @:42 B@:79
13:09:34.644;G1 X75.813 Y124.002 E18.89535;ok
13:09:34.740;G1 X73.454 Y122.431 E18.97950;ok
13:09:34.743;G1 X72.037 Y121.230 E19.03464;ok
13:09:34.829;G1 X69.042 Y118.276 E19.15955;ok
13:09:34.890;G1 X67.699 Y116.720 E19.22057;ok
13:09:35.029;G1 X66.388 Y114.819 E19.28913;ok
13:09:35.098;G1 X65.144 Y112.618 E19.36420;ok
13:09:35.176;G1 X64.192 Y110.465 E19.43410;ok
13:09:35.261;G1 X62.936 Y106.398 E19.56050;ok
13:09:35.339;G1 X62.549 Y104.774 E19.61007;ok
13:09:35.481;G1 X62.231 Y102.342 E19.68288;ok
13:09:35.537;G1 X62.125 Y99.576 E19.76506;ok
13:09:35.617;M105;ok T:217.0 /220.0 B:70.0 /70.0 T0:217.0 /220.0 @:77 B@:59
13:09:35.711;G1 X62.294 Y96.893 E19.84489;ok
13:09:35.805;G1 X62.676 Y94.576 E19.91461;ok
13:09:35.811;G1 X63.867 Y90.399 E20.04358;ok
13:09:35.880;G1 X64.719 Y88.243 E20.11240;ok
13:09:36.024;M73 P2 R15;ok
13:09:36.024;M73 Q2 S15;ok
13:09:36.102;G1 X65.987 Y85.831 E20.19332;ok
13:09:36.195;G1 X67.553 Y83.474 E20.27734;ok
13:09:36.195;G1 X68.759 Y82.048 E20.33279;ok
13:09:36.288;G1 X71.579 Y79.186 E20.45209;ok
13:09:36.350;M204 S1000;ok
13:09:36.492;G1 X71.834 Y79.437 F9000.000;ok
13:09:36.492;M204 S500;ok
13:09:36.559;G1 F1800.000;ok
13:09:36.560;G1 X73.428 Y78.035 E20.51512;ok
13:09:36.637;M105;ok T:217.9 /220.0 B:69.7 /70.0 T0:217.9 /220.0 @:63 B@:104
13:09:36.637;G1 X75.292 Y76.739 E20.58253;ok
13:09:36.725;G1 X77.364 Y75.553 E20.65342;ok
13:09:36.731;G1 X79.544 Y74.569 E20.72443;ok
13:09:36.799;G1 X83.634 Y73.299 E20.85157;ok
13:09:36.942;G1 X85.169 Y72.923 E20.89851;ok
13:09:37.080;G1 X87.556 Y72.598 E20.97005;ok
13:09:37.194;G1 X90.129 Y72.481 E21.04651;ok
13:09:37.194;G1 X92.923 Y72.634 E21.12959;ok
13:09:37.262;G1 X95.243 Y73.001 E21.19932;ok
13:09:37.347;G1 X99.445 Y74.193 E21.32901;ok
13:09:37.488;G1 X101.560 Y75.021 E21.39647;ok
13:09:37.562;G1 X103.875 Y76.229 E21.47400;ok
13:09:37.653;M105;ok T:218.4 /220.0 B:69.8 /70.0 T0:218.4 /220.0 @:53 B@:85
13:09:37.747;G1 X106.267 Y77.807 E21.55906;ok
13:09:37.811;G1 X107.664 Y78.986 E21.61335;ok
13:09:37.817;G1 X110.632 Y81.901 E21.73686;ok
13:09:37.947;G1 X111.976 Y83.443 E21.79758;ok
13:09:37.966;G1 X113.274 Y85.315 E21.86523;ok
13:09:38.058;G1 X114.491 Y87.451 E21.93821;ok
13:09:38.134;G1 X115.462 Y89.626 E22.00895;ok
13:09:38.214;G1 X116.717 Y93.694 E22.13535;ok
13:09:38.294;G1 X117.096 Y95.282 E22.18381;ok
13:09:38.437;G1 X117.406 Y97.630 E22.25414;ok
13:09:38.490;G1 X117.518 Y100.424 E22.33716;ok
13:09:38.570;G1 X117.338 Y103.177 E22.41907;ok
13:09:38.657;G1 X116.969 Y105.374 E22.48521;ok
13:09:38.750;M105;ok T:219.0 /220.0 B:70.1 /70.0 T0:219.0 /220.0 @:46 B@:51
13:09:38.828;G1 X115.785 Y109.514 E22.61307;ok
13:09:38.975;G1 X114.926 Y111.673 E22.68206;ok
13:09:38.980;G1 X113.655 Y114.071 E22.76265;ok
13:09:39.051;G1 X112.129 Y116.353 E22.84416;ok
13:09:39.137;G1 X110.951 Y117.738 E22.89814;ok
13:09:39.233;G1 X108.030 Y120.699 E23.02163;ok
13:09:39.294;G1 X106.498 Y122.022 E23.08174;ok
13:09:39.432;G1 X104.632 Y123.306 E23.14899;ok
