time;codice;risposta
19:41:17.576;G1 X62.310 Y102.460 E14.46857;ok
19:41:17.637;G1 X62.223 Y100.840 E14.51674;ok
19:41:17.750;G1 X62.282 Y98.307 E14.59196;ok
19:41:17.900;G1 X62.654 Y95.467 E14.67700;ok
19:41:18.015;G1 X63.549 Y91.856 E14.78746;ok
19:41:18.086;M105;ok T:218.0 /220.0 B:69.9 /70.0 T0:218.0 /220.0 @:62 B@:82
19:41:18.086;G1 X63.957 Y90.509 E14.82925;ok
19:41:18.235;G1 X65.106 Y87.518 E14.92437;ok
19:41:18.241;G1 X66.038 Y85.631 E14.98689;ok
19:41:18.308;G1 X67.187 Y83.841 E15.05004;ok
19:41:18.381;G1 X69.793 Y80.449 E15.17704;ok
19:41:18.437;G1 X71.164 Y78.979 E15.23672;ok
19:41:18.532;M204 S1000;ok
19:41:18.690;G1 X71.425 Y79.224 F9000.000;ok
19:41:18.691;M204 S500;ok
19:41:18.778;G1 F1800.000;ok
19:41:18.778;G1 X72.993 Y77.869 E15.29822;ok
19:41:18.854;G1 X74.779 Y76.655 E15.36235;ok
19:41:18.917;G1 X78.064 Y74.835 E15.47386;ok
19:41:18.921;G1 X79.886 Y74.035 E15.53294;ok
19:41:19.007;G1 X81.793 Y73.432 E15.59234;ok
19:41:19.077;G1 X83.586 Y73.063 E15.64669;ok
19:41:19.213;M105;ok T:218.2 /220.0 B:69.7 /70.0 T0:218.2 /220.0 @:57 B@:115
19:41:19.268;G1 X85.406 Y72.872 E15.70103;ok
19:41:19.353;G1 X92.461 Y72.844 E15.91049;ok
19:41:19.359;G1 X95.124 Y73.037 E15.98976;ok
19:41:19.448;G1 X97.731 Y73.611 E16.06903;ok
19:41:19.573;G1 X101.122 Y74.800 E16.17573;ok
19:41:19.620;G1 X104.753 Y76.494 E16.29470;ok
19:41:19.727;G1 X106.695 Y77.744 E16.36325;ok
19:41:19.797;G1 X108.466 Y79.225 E16.43180;ok
19:41:19.869;G1 X111.953 Y83.002 E16.58442;ok
19:41:20.080;G1 X113.060 Y84.365 E16.63656;ok
19:41:20.099;G1 X114.326 Y86.333 E16.70605;ok
19:41:20.100;G1 X115.793 Y89.265 E16.80339;ok
19:41:20.189;M73 P0 R45;ok
19:41:20.189;M73 Q0 S45;ok
19:41:20.261;M105;ok T:218.2 /220.0 B:69.8 /70.0 T0:218.2 /220.0 @:57 B@:107
19:41:20.388;G1 X116.561 Y91.318 E16.86847;ok
19:41:20.388;G1 X117.081 Y93.447 E16.93355;ok
19:41:20.394;G1 X117.278 Y94.806 E16.97432;ok
19:41:20.454;G1 X117.374 Y96.186 E17.01540;ok
19:41:20.522;G1 X117.384 Y102.773 E17.21096;ok
19:41:20.581;G1 X117.299 Y104.505 E17.26246;ok
19:41:20.643;G1 X117.052 Y106.222 E17.31397;ok
19:41:20.879;G1 X116.507 Y108.367 E17.37968;ok
19:41:20.968;G1 X115.707 Y110.442 E17.44570;ok
19:41:21.057;G1 X113.007 Y115.653 E17.61997;ok
19:41:21.177;G1 X111.974 Y117.341 E17.67873;ok
19:41:21.311;G1 X110.371 Y119.356 E17.75516;ok
19:41:21.388;M105;ok T:218.2 /220.0 B:69.9 /70.0 T0:218.2 /220.0 @:56 B@:86
19:41:21.464;G1 X108.021 Y121.661 E17.85291;ok
19:41:21.637;G1 X106.454 Y122.973 E17.91357;ok
19:41:21.642;G1 X104.744 Y124.110 E17.97455;ok
19:41:21.695;G1 X102.841 Y125.086 E18.03804;ok
19:41:21.773;G1 X100.839 Y125.837 E18.10154;ok
19:41:21.883;G1 X97.228 Y126.703 E18.21181;ok
19:41:21.956;G1 X95.464 Y126.994 E18.26489;ok
19:41:22.029;G1 X92.123 Y127.173 E18.36421;ok
19:41:22.075;G1 X87.635 Y127.164 E18.49747;ok
19:41:22.122;G1 X84.213 Y127.015 E18.59917;ok
19:41:22.342;G1 X82.157 Y126.739 E18.66078;ok
19:41:22.400;G1 X79.971 Y126.181 E18.72775;ok
19:41:22.457;M105;ok T:218.4 /220.0 B:70.0 /70.0 T0:218.4 /220.0 @:52 B@:81
19:41:22.532;G1 X77.870 Y125.363 E18.79472;ok
19:41:22.607;G1 X75.874 Y124.290 E18.86200;ok
19:41:22.613;G1 X74.031 Y122.988 E18.92897;ok
19:41:22.801;G1 X71.448 Y120.630 E19.03283;ok
19:41:22.867;G1 X68.259 Y117.099 E19.17410;ok
19:41:22.958;G1 X67.035 Y115.544 E19.23286;ok
19:41:23.064;G1 X65.826 Y113.648 E19.29962;ok
19:41:23.131;G1 X64.935 Y112.013 E19.35491;ok
19:41:23.201;G1 X64.212 Y110.297 E19.41021;ok
19:41:23.271;G1 X63.484 Y108.044 E19.48049;ok
19:41:23.343;G1 X63.058 Y106.035 E19.54146;ok
19:41:23.467;G1 X62.653 Y102.287 E19.65341;ok
19:41:23.526;G1 X62.579 Y100.703 E19.70049;ok
19:41:23.638;M105;ok T:218.3 /220.0 B:70.0 /70.0 T0:218.3 /220.0 @:57 B@:78
19:41:23.789;G1 X62.643 Y98.279 E19.77248;ok
19:41:23.910;G1 X63.012 Y95.491 E19.85599;ok
19:41:23.915;G1 X63.897 Y91.936 E19.96474;ok
19:41:23.972;G1 X64.299 Y90.613 E20.00583;ok
19:41:24.048;G1 X65.437 Y87.652 E20.09998;ok
19:41:24.124;G1 X66.356 Y85.793 E20.16158;ok
19:41:24.198;G1 X67.484 Y84.038 E20.22351;ok
19:41:24.274;G1 X70.078 Y80.664 E20.34989;ok
19:41:24.390;G1 X71.389 Y79.262 E20.40688;ok
19:41:24.548;M204 S1000;ok
19:41:24.615;G1 X71.650 Y79.506 F9000.000;ok
19:41:24.615;M204 S500;ok
19:41:24.690;M105;ok T:217.8 /220.0 B:70.1 /70.0 T0:217.8 /220.0 @:66 B@:65
19:41:24.694;G1 F1800.000;ok
19:41:24.695;G1 X73.222 Y78.143 E20.46865;ok
19:41:24.754;G1 X74.966 Y76.959 E20.53122;ok
19:41:24.812;G1 X78.240 Y75.145 E20.64237;ok
19:41:24.816;G1 X80.036 Y74.360 E20.70057;ok
19:41:24.893;G1 X81.896 Y73.774 E20.75845;ok
19:41:24.962;G1 X83.651 Y73.414 E20.81165;ok
19:41:25.142;G1 X85.443 Y73.227 E20.86515;ok
19:41:25.223;G1 X92.461 Y73.201 E21.07352;ok
